Compound_ID	name	evidence_score	MW	all_possibles
	input_mz	match_form	mz_difference
	410.2444	M-NH3+H[1+]	0.0019
	381.2656	M-HCOOH+H[1+]	0.002
	410.2454	M-NH3+H[1+]	0.0029
	410.2442	M-NH3+H[1+]	0.0017
	410.2443	M-NH3+H[1+]	0.0018
	410.2445	M-NH3+H[1+]	0.002
	381.2633	M-HCOOH+H[1+]	-0.0003
	410.2414	M-NH3+H[1+]	-0.0011
	343.305	M-HCOOK+H[1+]	-0.0027
	410.2439	M-NH3+H[1+]	0.0014
	410.2448	M-NH3+H[1+]	0.0023
	410.2447	M-NH3+H[1+]	0.0022
	343.3064	M-HCOOK+H[1+]	-0.0013
	410.2449	M-NH3+H[1+]	0.0024
	410.244	M-NH3+H[1+]	0.0015
	359.2821	M-HCOONa+H[1+]	0.0005
	410.2389	M-NH3+H[1+]	-0.0036
	343.3059	M-HCOOK+H[1+]	-0.0018
	410.2456	M-NH3+H[1+]	0.0031
CE5928		12	334.2144	among possibles C05957,C05953,C05954,C05955,CE5535,CE5537,CE5925,CE5928
	336.2274	M(C13)+H[1+]	0.0023
	334.2119	M[1+]	-0.0025
	334.2147	M[1+]	0.0003
	168.1143	M+2H[2+]	-0.0002
	317.2115	M-H2O+H[1+]	0.0004
	336.2268	M(C13)+H[1+]	0.0017
	334.217	M[1+]	0.0026
	168.1157	M+2H[2+]	0.0012
	336.2271	M(C13)+H[1+]	0.002
	334.212	M[1+]	-0.0024
	336.2277	M(C13)+H[1+]	0.0026
	291.2328	M-CO2+H[1+]	0.0009
	334.2125	M[1+]	-0.0019
	336.2275	M(C13)+H[1+]	0.0024
	334.2168	M[1+]	0.0024
	334.2149	M[1+]	0.0005
	336.2278	M(C13)+H[1+]	0.0027
	168.1145	M+2H[2+]	0.0
	336.2282	M(C13)+H[1+]	0.0031
	334.2151	M[1+]	0.0007
	334.2163	M[1+]	0.0019
	334.2156	M[1+]	0.0012
	336.2272	M(C13)+H[1+]	0.0021
	336.2276	M(C13)+H[1+]	0.0025
	334.2148	M[1+]	0.0004
	334.216	M[1+]	0.0016
C14153	alpha-Tocotrienol	19	424.3341
	213.1724	M+2H[2+]	-0.0019
	213.1729	M+2H[2+]	-0.0014
	427.3394	M(Cl37)+H[1+]	0.0008
	425.3394	M+H[1+]	-0.002
	213.1744	M+2H[2+]	0.0001
	425.343	M+H[1+]	0.0016
	213.1731	M+2H[2+]	-0.0012
